nodeId	time	failures	numContainers	concurrency	cache	newratio	appId	sigma	U	minit	mtask	mcache	mheap	perf	perfsigma	feature1	feature2	feature3	mshuffle
0	30	0	1	2	0.2	1	430	0	2.35E-01	1.33E+08	7.14E+07	0.8	4617928704	0.03333333333	0	2.35E-01	4.16E+00	0	0
1	31	1	1	2	0.2	3	431	3.875	2.47E-01	1.33E+08	7.14E+07	0.8	4617928704	0.03225806452	0.003584229391	2.47E-01	4.15E+00	0	0
2	32	1	1	2	0.2	5	432	4	2.51E-01	1.33E+08	7.14E+07	0.8	4617928704	0.03125	0.003472222222	2.51E-01	4.15E+00	0	0
3	33	0	1	2	0.2	7	433	0	2.53E-01	1.33E+08	7.14E+07	0.8	4617928704	0.0303030303	0	2.53E-01	4.15E+00	0	0
4	26	0	1	2	0.4	1	434	0	4.10E-01	1.33E+08	7.14E+07	0.8	4617928704	0.03846153846	0	4.10E-01	2.08E+00	0	0
5	25	0	1	2	0.4	3	435	0	4.35E-01	1.33E+08	7.14E+07	0.8	4617928704	0.04	0	4.35E-01	2.08E+00	0	0
6	27	0	1	2	0.4	5	436	0	4.43E-01	1.33E+08	7.14E+07	0.8	4617928704	0.03703703704	0	4.43E-01	2.07E+00	0	0
7	29	0	1	2	0.4	7	437	0	4.47E-01	1.33E+08	7.14E+07	0.8	4617928704	0.03448275862	0	4.47E-01	2.07E+00	0	0
8	27	0	1	2	0.6	1	438	0	4.77E-01	1.33E+08	7.14E+07	0.8	4617928704	0.03703703704	0	5.85E-01	1.67E+00	0	0
9	21	0	1	2	0.6	3	439	0	6.22E-01	1.33E+08	7.14E+07	0.8	4617928704	0.04761904762	0	6.22E-01	1.38E+00	0	0
10	22	0	1	2	0.6	5	440	0	6.35E-01	1.33E+08	7.14E+07	0.8	4617928704	0.04545454545	0	6.35E-01	1.38E+00	0	0
11	22	0	1	2	0.6	7	441	0	6.41E-01	1.33E+08	7.14E+07	0.8	4617928704	0.04545454545	0	6.41E-01	1.38E+00	0	0
12	35	1	1	2	0.8	1	442	4.375	3.02E-01	1.33E+08	7.14E+07	0.8	4617928704	0.02857142857	0.003174603175	7.60E-01	1.67E+00	0	0
13	29	6	1	2	0.8	3	443	21.75	7.52E-01	1.33E+08	7.14E+07	0.8	4617928704	0.03448275862	0.01477832512	8.10E-01	1.11E+00	0	0
14	18	1	1	2	0.8	5	444	2.25	8.26E-01	1.33E+08	7.14E+07	0.8	4617928704	0.05555555556	0.006172839506	8.26E-01	1.04E+00	0	0
15	15	0	1	2	0.8	7	445	0	8.35E-01	1.33E+08	7.14E+07	0.8	4617928704	0.06666666667	0	8.35E-01	1.04E+00	0	0
16	25	0	1	4	0.2	1	446	0	2.66E-01	1.33E+08	7.14E+07	0.8	4617928704	0.04	0	2.66E-01	4.16E+00	0	0
17	26	0	1	4	0.2	3	447	0	2.78E-01	1.33E+08	7.14E+07	0.8	4617928704	0.03846153846	0	2.78E-01	4.15E+00	0	0
18	29	0	1	4	0.2	5	448	0	2.82E-01	1.33E+08	7.14E+07	0.8	4617928704	0.03448275862	0	2.82E-01	4.15E+00	0	0
19	29	0	1	4	0.2	7	449	0	2.84E-01	1.33E+08	7.14E+07	0.8	4617928704	0.03448275862	0	2.84E-01	4.15E+00	0	0
20	21	0	1	4	0.4	1	450	0	4.41E-01	1.33E+08	7.14E+07	0.8	4617928704	0.04761904762	0	4.41E-01	2.08E+00	0	0
21	22	0	1	4	0.4	3	451	0	4.66E-01	1.33E+08	7.14E+07	0.8	4617928704	0.04545454545	0	4.66E-01	2.08E+00	0	0
22	23	0	1	4	0.4	5	452	0	4.74E-01	1.33E+08	7.14E+07	0.8	4617928704	0.04347826087	0	4.74E-01	2.07E+00	0	0
23	25	0	1	4	0.4	7	453	0	4.78E-01	1.33E+08	7.14E+07	0.8	4617928704	0.04	0	4.78E-01	2.07E+00	0	0
24	25	0	1	4	0.6	1	454	0	5.08E-01	1.33E+08	7.14E+07	0.8	4617928704	0.04	0	6.16E-01	1.67E+00	0	0
25	18	0	1	4	0.6	3	455	0	6.53E-01	1.33E+08	7.14E+07	0.8	4617928704	0.05555555556	0	6.53E-01	1.38E+00	0	0
26	20	0	1	4	0.6	5	456	0	6.66E-01	1.33E+08	7.14E+07	0.8	4617928704	0.05	0	6.66E-01	1.38E+00	0	0
27	21	0	1	4	0.6	7	457	0	6.72E-01	1.33E+08	7.14E+07	0.8	4617928704	0.04761904762	0	6.72E-01	1.38E+00	0	0
28	26	1	1	4	0.8	1	458	3.25	3.33E-01	1.33E+08	7.14E+07	0.8	4617928704	0.03846153846	0.004273504274	7.91E-01	1.67E+00	0	0
29	19	4	1	4	0.8	3	459	9.5	7.83E-01	1.33E+08	7.14E+07	0.8	4617928704	0.05263157895	0.01754385965	8.41E-01	1.11E+00	0	0
30	14	1	1	4	0.8	5	460	1.75	8.57E-01	1.33E+08	7.14E+07	0.8	4617928704	0.07142857143	0.007936507937	8.57E-01	1.04E+00	0	0
31	14	0	1	4	0.8	7	461	0	8.66E-01	1.33E+08	7.14E+07	0.8	4617928704	0.07142857143	0	8.66E-01	1.04E+00	0	0
32	80	0	1	6	0.2	1	462	0	2.96E-01	1.33E+08	7.14E+07	0.8	4617928704	0.0125	0	2.96E-01	4.16E+00	0	0
33	30	1	1	6	0.2	3	463	3.75	3.09E-01	1.33E+08	7.14E+07	0.8	4617928704	0.03333333333	0.003703703704	3.09E-01	4.15E+00	0	0
34	80	0	1	6	0.2	5	464	0	3.13E-01	1.33E+08	7.14E+07	0.8	4617928704	0.0125	0	3.13E-01	4.15E+00	0	0
35	30	0	1	6	0.2	7	465	0	3.15E-01	1.33E+08	7.14E+07	0.8	4617928704	0.03333333333	0	3.15E-01	4.15E+00	0	0
36	22	0	1	6	0.4	1	466	0	4.71E-01	1.33E+08	7.14E+07	0.8	4617928704	0.04545454545	0	4.71E-01	2.08E+00	0	0
37	22	0	1	6	0.4	3	467	0	4.96E-01	1.33E+08	7.14E+07	0.8	4617928704	0.04545454545	0	4.96E-01	2.08E+00	0	0
38	24	0	1	6	0.4	5	468	0	5.05E-01	1.33E+08	7.14E+07	0.8	4617928704	0.04166666667	0	5.05E-01	2.07E+00	0	0
39	27	1	1	6	0.4	7	469	3.375	5.09E-01	1.33E+08	7.14E+07	0.8	4617928704	0.03703703704	0.004115226337	5.09E-01	2.07E+00	0	0
40	26	0	1	6	0.6	1	470	0	5.39E-01	1.33E+08	7.14E+07	0.8	4617928704	0.03846153846	0	6.46E-01	1.67E+00	0	0
41	18	0	1	6	0.6	3	471	0	6.84E-01	1.33E+08	7.14E+07	0.8	4617928704	0.05555555556	0	6.84E-01	1.38E+00	0	0
42	17	0	1	6	0.6	5	472	0	6.96E-01	1.33E+08	7.14E+07	0.8	4617928704	0.05882352941	0	6.96E-01	1.38E+00	0	0
43	19	0	1	6	0.6	7	473	0	7.03E-01	1.33E+08	7.14E+07	0.8	4617928704	0.05263157895	0	7.03E-01	1.38E+00	0	0
44	27	3	1	6	0.8	1	474	10.125	3.64E-01	1.33E+08	7.14E+07	0.8	4617928704	0.03703703704	0.0101010101	8.21E-01	1.67E+00	0	0
45	12	0	1	6	0.8	3	475	0	8.14E-01	1.33E+08	7.14E+07	0.8	4617928704	0.08333333333	0	8.71E-01	1.11E+00	0	0
46	8.8	0	1	6	0.8	5	476	0	8.88E-01	1.33E+08	7.14E+07	0.8	4617928704	0.1136363636	0	8.88E-01	1.04E+00	0	0
47	9	0	1	6	0.8	7	477	0	8.96E-01	1.33E+08	7.14E+07	0.8	4617928704	0.1111111111	0	8.96E-01	1.04E+00	0	0
48	80	0	1	8	0.2	1	478	0	3.27E-01	1.33E+08	7.14E+07	0.8	4617928704	0.0125	0	3.27E-01	4.16E+00	0	0
49	80	0	1	8	0.2	3	479	0	3.40E-01	1.33E+08	7.14E+07	0.8	4617928704	0.0125	0	3.40E-01	4.15E+00	0	0
50	39	0	1	8	0.2	5	480	0	3.44E-01	1.33E+08	7.14E+07	0.8	4617928704	0.02564102564	0	3.44E-01	4.15E+00	0	0
51	41	0	1	8	0.2	7	481	0	3.46E-01	1.33E+08	7.14E+07	0.8	4617928704	0.0243902439	0	3.46E-01	4.15E+00	0	0
52	24	0	1	8	0.4	1	482	0	5.02E-01	1.33E+08	7.14E+07	0.8	4617928704	0.04166666667	0	5.02E-01	2.08E+00	0	0
53	22	0	1	8	0.4	3	483	0	5.27E-01	1.33E+08	7.14E+07	0.8	4617928704	0.04545454545	0	5.27E-01	2.08E+00	0	0
54	25	0	1	8	0.4	5	484	0	5.36E-01	1.33E+08	7.14E+07	0.8	4617928704	0.04	0	5.36E-01	2.07E+00	0	0
55	25	2	1	8	0.4	7	485	6.25	5.40E-01	1.33E+08	7.14E+07	0.8	4617928704	0.04	0.008	5.40E-01	2.07E+00	0	0
56	25	0	1	8	0.6	1	486	0	5.70E-01	1.33E+08	7.14E+07	0.8	4617928704	0.04	0	6.77E-01	1.67E+00	0	0
57	21	0	1	8	0.6	3	487	0	7.15E-01	1.33E+08	7.14E+07	0.8	4617928704	0.04761904762	0	7.15E-01	1.38E+00	0	0
58	22	0	1	8	0.6	5	488	0	7.27E-01	1.33E+08	7.14E+07	0.8	4617928704	0.04545454545	0	7.27E-01	1.38E+00	0	0
59	18	0	1	8	0.6	7	489	0	7.34E-01	1.33E+08	7.14E+07	0.8	4617928704	0.05555555556	0	7.34E-01	1.38E+00	0	0
60	27	3	1	8	0.8	1	490	10.125	3.95E-01	1.33E+08	7.14E+07	0.8	4617928704	0.03703703704	0.0101010101	8.52E-01	1.67E+00	0	0
61	15	2	1	8	0.8	3	491	3.75	8.45E-01	1.33E+08	7.14E+07	0.8	4617928704	0.06666666667	0.01333333333	9.02E-01	1.11E+00	0	0
62	8.3	0	1	8	0.8	5	492	0	9.19E-01	1.33E+08	7.14E+07	0.8	4617928704	0.1204819277	0	9.19E-01	1.04E+00	0	0
63	11	0	1	8	0.8	7	493	0	9.27E-01	1.33E+08	7.14E+07	0.8	4617928704	0.09090909091	0	9.27E-01	1.04E+00	0	0
64	23	0	2	1	0.2	1	494	0	2.63E-01	1.33E+08	7.14E+07	0.8	2308964352	0.04347826087	0	2.63E-01	4.33E+00	0	0
65	34	0	2	1	0.2	3	495	0	2.76E-01	1.33E+08	7.14E+07	0.8	2308964352	0.02941176471	0	2.76E-01	4.31E+00	0	0
66	39	1	2	1	0.2	5	496	2.4375	2.80E-01	1.33E+08	7.14E+07	0.8	2308964352	0.02564102564	0.001508295626	2.80E-01	4.30E+00	0	0
67	41	0	2	1	0.2	7	497	0	2.82E-01	1.33E+08	7.14E+07	0.8	2308964352	0.0243902439	0	2.82E-01	4.30E+00	0	0
68	21	0	2	1	0.4	1	498	0	4.38E-01	1.33E+08	7.14E+07	0.8	2308964352	0.04761904762	0	4.38E-01	2.16E+00	0	0
69	19	1	2	1	0.4	3	499	1.1875	4.63E-01	1.33E+08	7.14E+07	0.8	2308964352	0.05263157895	0.003095975232	4.63E-01	2.15E+00	0	0
70	20	1	2	1	0.4	5	500	1.25	4.72E-01	1.33E+08	7.14E+07	0.8	2308964352	0.05	0.002941176471	4.72E-01	2.15E+00	0	0
71	20	0	2	1	0.4	7	501	0	4.76E-01	1.33E+08	7.14E+07	0.8	2308964352	0.05	0	4.76E-01	2.15E+00	0	0
72	17	0	2	1	0.6	1	502	0	4.48E-01	1.33E+08	7.14E+07	0.8	2308964352	0.05882352941	0	6.13E-01	1.73E+00	0	0
73	16	0	2	1	0.6	3	503	0	6.51E-01	1.33E+08	7.14E+07	0.8	2308964352	0.0625	0	6.51E-01	1.44E+00	0	0
74	17	0	2	1	0.6	5	504	0	6.63E-01	1.33E+08	7.14E+07	0.8	2308964352	0.05882352941	0	6.63E-01	1.43E+00	0	0
75	16	0	2	1	0.6	7	505	0	6.70E-01	1.33E+08	7.14E+07	0.8	2308964352	0.0625	0	6.70E-01	1.43E+00	0	0
76	20	0	2	1	0.8	1	506	0	2.73E-01	1.33E+08	7.14E+07	0.8	2308964352	0.05	0	7.88E-01	1.73E+00	0	0
77	14	2	2	1	0.8	3	507	1.75	7.23E-01	1.33E+08	7.14E+07	0.8	2308964352	0.07142857143	0.007936507937	8.38E-01	1.15E+00	0	0
78	16	2	2	1	0.8	5	508	2	8.55E-01	1.33E+08	7.14E+07	0.8	2308964352	0.0625	0.006944444444	8.55E-01	1.07E+00	0	0
79	17	4	2	1	0.8	7	509	4.25	8.63E-01	1.33E+08	7.14E+07	0.8	2308964352	0.05882352941	0.01176470588	8.63E-01	1.07E+00	0	0
80	80	0	2	2	0.2	1	510	0	2.94E-01	1.33E+08	7.14E+07	0.8	2308964352	0.0125	0	2.94E-01	4.33E+00	0	0
81	25	0	2	2	0.2	3	511	0	3.07E-01	1.33E+08	7.14E+07	0.8	2308964352	0.04	0	3.07E-01	4.31E+00	0	0
82	27	2	2	2	0.2	5	512	3.375	3.11E-01	1.33E+08	7.14E+07	0.8	2308964352	0.03703703704	0.004115226337	3.11E-01	4.30E+00	0	0
83	28	1	2	2	0.2	7	513	1.75	3.13E-01	1.33E+08	7.14E+07	0.8	2308964352	0.03571428571	0.002100840336	3.13E-01	4.30E+00	0	0
84	20	0	2	2	0.4	1	514	0	4.69E-01	1.33E+08	7.14E+07	0.8	2308964352	0.05	0	4.69E-01	2.16E+00	0	0
85	20	0	2	2	0.4	3	515	0	4.94E-01	1.33E+08	7.14E+07	0.8	2308964352	0.05	0	4.94E-01	2.15E+00	0	0
86	22	0	2	2	0.4	5	516	0	5.03E-01	1.33E+08	7.14E+07	0.8	2308964352	0.04545454545	0	5.03E-01	2.15E+00	0	0
87	23	0	2	2	0.4	7	517	0	5.07E-01	1.33E+08	7.14E+07	0.8	2308964352	0.04347826087	0	5.07E-01	2.15E+00	0	0
88	19	0	2	2	0.6	1	518	0	4.79E-01	1.33E+08	7.14E+07	0.8	2308964352	0.05263157895	0	6.44E-01	1.73E+00	0	0
89	15	0	2	2	0.6	3	519	0	6.82E-01	1.33E+08	7.14E+07	0.8	2308964352	0.06666666667	0	6.82E-01	1.44E+00	0	0
90	16	0	2	2	0.6	5	520	0	6.94E-01	1.33E+08	7.14E+07	0.8	2308964352	0.0625	0	6.94E-01	1.43E+00	0	0
91	20	0	2	2	0.6	7	521	0	7.01E-01	1.33E+08	7.14E+07	0.8	2308964352	0.05	0	7.01E-01	1.43E+00	0	0
92	24	1	2	2	0.8	1	522	1.5	3.04E-01	1.33E+08	7.14E+07	0.8	2308964352	0.04166666667	0.002450980392	8.19E-01	1.73E+00	0	0
93	11	1	2	2	0.8	3	523	0.6875	7.54E-01	1.33E+08	7.14E+07	0.8	2308964352	0.09090909091	0.005347593583	8.69E-01	1.15E+00	0	0
94	17	3	2	2	0.8	5	524	3.1875	8.86E-01	1.33E+08	7.14E+07	0.8	2308964352	0.05882352941	0.009287925697	8.86E-01	1.07E+00	0	0
