nodeId	time	failures	numContainers	concurrency	cache	newratio	appId	sigma	U	minit	mtask	mcache	mheap	perf	perfsigma	feature1	feature2	feature4	mshuffle	feature3
0	12	0	1	2	0.2	1	1232	0	2.21E-01	1.05E+08	5.35E+07	0.6	4617928704	0.08333333333	0	2.21E-01	3.13E+00	1.26E+00	0.1	0
1	12	0	1	2	0.2	3	1233	0	2.33E-01	1.05E+08	5.35E+07	0.6	4617928704	0.08333333333	0	2.33E-01	3.12E+00	1.25E+00	0.1	0
2	12	0	1	2	0.2	5	1234	0	2.38E-01	1.05E+08	5.35E+07	0.6	4617928704	0.08333333333	0	2.38E-01	3.12E+00	1.24E+00	0.1	0
3	13	0	1	2	0.2	7	1235	0	2.40E-01	1.05E+08	5.35E+07	0.6	4617928704	0.07692307692	0	2.40E-01	3.12E+00	1.49E+00	0.1	0
4	12	0	1	2	0.4	1	1236	0	3.96E-01	1.05E+08	5.35E+07	0.6	4617928704	0.08333333333	0	3.96E-01	1.56E+00	1.26E+00	0.1	0
5	9.8	0	1	2	0.4	3	1237	0	4.21E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1020408163	0	4.21E-01	1.56E+00	1.25E+00	0.1	0
6	9.9	0	1	2	0.4	5	1238	0	4.29E-01	1.05E+08	5.35E+07	0.6	4617928704	0.101010101	0	4.29E-01	1.56E+00	1.24E+00	0.1	0
7	10	0	1	2	0.4	7	1239	0	4.33E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1	0	4.33E-01	1.56E+00	1.49E+00	0.1	0
8	7.9	0	1	2	0.6	1	1240	0	4.75E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1265822785	0	5.71E-01	1.25E+00	1.26E+00	0.1	0
9	7.4	0	1	2	0.6	3	1241	0	6.08E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1351351351	0	6.08E-01	1.04E+00	1.25E+00	0.1	0
10	8	0	1	2	0.6	5	1242	0	6.21E-01	1.05E+08	5.35E+07	0.6	4617928704	0.125	0	6.21E-01	1.04E+00	1.24E+00	0.1	0
11	8.8	0	1	2	0.6	7	1243	0	6.27E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1136363636	0	6.27E-01	1.04E+00	1.49E+00	0.1	0
12	7.5	0	1	2	0.8	1	1244	0	4.75E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1333333333	0	6.58E-01	1.25E+00	1.26E+00	0.1	0
13	7.4	0	1	2	0.8	3	1245	0	6.08E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1351351351	0	7.02E-01	1.04E+00	1.25E+00	0.1	0
14	8.3	0	1	2	0.8	5	1246	0	6.21E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1204819277	0	7.17E-01	1.04E+00	1.24E+00	0.1	0
15	9.1	0	1	2	0.8	7	1247	0	6.27E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1098901099	0	7.24E-01	1.04E+00	1.49E+00	0.1	0
16	8.6	0	1	4	0.2	1	1248	0	2.44E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1162790698	0	2.44E-01	3.13E+00	1.53E+00	0.1	0
17	9	0	1	4	0.2	3	1249	0	2.57E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1111111111	0	2.57E-01	3.12E+00	1.49E+00	0.1	0
18	9.5	0	1	4	0.2	5	1250	0	2.61E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1052631579	0	2.61E-01	3.12E+00	1.48E+00	0.1	0
19	10	0	1	4	0.2	7	1251	0	2.63E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1	0	2.63E-01	3.12E+00	1.77E+00	0.1	0
20	8.4	0	1	4	0.4	1	1252	0	4.19E-01	1.05E+08	5.35E+07	0.6	4617928704	0.119047619	0	4.19E-01	1.56E+00	1.53E+00	0.1	0
21	7.7	0	1	4	0.4	3	1253	0	4.44E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1298701299	0	4.44E-01	1.56E+00	1.49E+00	0.1	0
22	8.6	0	1	4	0.4	5	1254	0	4.52E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1162790698	0	4.52E-01	1.56E+00	1.48E+00	0.1	0
23	8.9	0	1	4	0.4	7	1255	0	4.57E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1123595506	0	4.57E-01	1.56E+00	1.77E+00	0.1	0
24	7	0	1	4	0.6	1	1256	0	4.99E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1428571429	0	5.94E-01	1.25E+00	1.53E+00	0.1	0
25	6.1	0	1	4	0.6	3	1257	0	6.32E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1639344262	0	6.32E-01	1.04E+00	1.49E+00	0.1	0
26	7.6	0	1	4	0.6	5	1258	0	6.44E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1315789474	0	6.44E-01	1.04E+00	1.48E+00	0.1	0
27	8.5	0	1	4	0.6	7	1259	0	6.50E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1176470588	0	6.50E-01	1.04E+00	1.77E+00	0.1	0
28	8.1	0	1	4	0.8	1	1260	0	4.99E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1234567901	0	6.82E-01	1.25E+00	1.53E+00	0.1	0
29	6.3	0	1	4	0.8	3	1261	0	6.32E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1587301587	0	7.25E-01	1.04E+00	1.49E+00	0.1	0
30	6.8	0	1	4	0.8	5	1262	0	6.44E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1470588235	0	7.40E-01	1.04E+00	1.48E+00	0.1	0
31	7.8	0	1	4	0.8	7	1263	0	6.50E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1282051282	0	7.47E-01	1.04E+00	1.77E+00	0.1	0
32	8.1	0	1	6	0.2	1	1264	0	2.67E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1234567901	0	2.67E-01	3.13E+00	1.79E+00	0.1	0
33	8.3	0	1	6	0.2	3	1265	0	2.80E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1204819277	0	2.80E-01	3.12E+00	1.74E+00	0.1	0
34	9.7	0	1	6	0.2	5	1266	0	2.84E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1030927835	0	2.84E-01	3.12E+00	1.72E+00	0.1	0
35	9.4	0	1	6	0.2	7	1267	0	2.86E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1063829787	0	2.86E-01	3.12E+00	2.06E+00	0.1	0
36	8.2	0	1	6	0.4	1	1268	0	4.42E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1219512195	0	4.42E-01	1.56E+00	1.79E+00	0.1	0
37	7.8	0	1	6	0.4	3	1269	0	4.67E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1282051282	0	4.67E-01	1.56E+00	1.74E+00	0.1	0
38	8.3	0	1	6	0.4	5	1270	0	4.76E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1204819277	0	4.76E-01	1.56E+00	1.72E+00	0.1	0
39	8.8	0	1	6	0.4	7	1271	0	4.80E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1136363636	0	4.80E-01	1.56E+00	2.06E+00	0.1	0
40	6.6	0	1	6	0.6	1	1272	0	5.22E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1515151515	0	6.17E-01	1.25E+00	1.79E+00	0.1	0
41	6.7	0	1	6	0.6	3	1273	0	6.55E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1492537313	0	6.55E-01	1.04E+00	1.74E+00	0.1	0
42	7.5	0	1	6	0.6	5	1274	0	6.67E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1333333333	0	6.67E-01	1.04E+00	1.72E+00	0.1	0
43	7.7	0	1	6	0.6	7	1275	0	6.73E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1298701299	0	6.73E-01	1.04E+00	2.06E+00	0.1	0
44	7.5	0	1	6	0.8	1	1276	0	5.22E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1333333333	0	7.05E-01	1.25E+00	1.79E+00	0.1	0
45	6.2	0	1	6	0.8	3	1277	0	6.55E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1612903226	0	7.48E-01	1.04E+00	1.74E+00	0.1	0
46	6.8	0	1	6	0.8	5	1278	0	6.67E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1470588235	0	7.63E-01	1.04E+00	1.72E+00	0.1	0
47	7.6	0	1	6	0.8	7	1279	0	6.73E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1315789474	0	7.70E-01	1.04E+00	2.06E+00	0.1	0
48	8.1	0	1	8	0.2	1	1280	0	2.90E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1234567901	0	2.90E-01	3.13E+00	2.06E+00	0.1	0
49	8.3	0	1	8	0.2	3	1281	0	3.03E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1204819277	0	3.03E-01	3.12E+00	1.99E+00	0.1	0
50	8.8	0	1	8	0.2	5	1282	0	3.07E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1136363636	0	3.07E-01	3.12E+00	1.97E+00	0.1	0
51	9.6	0	1	8	0.2	7	1283	0	3.09E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1041666667	0	3.09E-01	3.12E+00	2.35E+00	0.1	0
52	7.3	0	1	8	0.4	1	1284	0	4.65E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1369863014	0	4.65E-01	1.56E+00	2.06E+00	0.1	0
53	8.1	0	1	8	0.4	3	1285	0	4.90E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1234567901	0	4.90E-01	1.56E+00	1.99E+00	0.1	0
54	8.2	0	1	8	0.4	5	1286	0	4.99E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1219512195	0	4.99E-01	1.56E+00	1.97E+00	0.1	0
55	8.7	0	1	8	0.4	7	1287	0	5.03E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1149425287	0	5.03E-01	1.56E+00	2.35E+00	0.1	0
56	7.1	0	1	8	0.6	1	1288	0	5.45E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1408450704	0	6.40E-01	1.25E+00	2.06E+00	0.1	0
57	6.7	0	1	8	0.6	3	1289	0	6.78E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1492537313	0	6.78E-01	1.04E+00	1.99E+00	0.1	0
58	7.3	0	1	8	0.6	5	1290	0	6.90E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1369863014	0	6.90E-01	1.04E+00	1.97E+00	0.1	0
59	7.4	0	1	8	0.6	7	1291	0	6.97E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1351351351	0	6.97E-01	1.04E+00	2.35E+00	0.1	0
60	7.4	0	1	8	0.8	1	1292	0	5.45E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1351351351	0	7.28E-01	1.25E+00	2.06E+00	0.1	0
61	6.4	0	1	8	0.8	3	1293	0	6.78E-01	1.05E+08	5.35E+07	0.6	4617928704	0.15625	0	7.72E-01	1.04E+00	1.99E+00	0.1	0
62	7.3	0	1	8	0.8	5	1294	0	6.90E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1369863014	0	7.86E-01	1.04E+00	1.97E+00	0.1	0
63	7.4	0	1	8	0.8	7	1295	0	6.97E-01	1.05E+08	5.35E+07	0.6	4617928704	0.1351351351	0	7.93E-01	1.04E+00	2.35E+00	0.1	0
64	9.8	0	2	1	0.2	1	1296	0	2.44E-01	1.05E+08	5.35E+07	0.6	2308964352	0.1020408163	0	2.44E-01	3.26E+00	1.26E+00	0.1	0
65	11	0	2	1	0.2	3	1297	0	2.56E-01	1.05E+08	5.35E+07	0.6	2308964352	0.09090909091	0	2.56E-01	3.24E+00	1.25E+00	0.1	0
66	11	0	2	1	0.2	5	1298	0	2.60E-01	1.05E+08	5.35E+07	0.6	2308964352	0.09090909091	0	2.60E-01	3.24E+00	1.24E+00	0.1	0
67	11	0	2	1	0.2	7	1299	0	2.62E-01	1.05E+08	5.35E+07	0.6	2308964352	0.09090909091	0	2.62E-01	3.23E+00	1.49E+00	0.1	0
68	8.9	0	2	1	0.4	1	1300	0	4.19E-01	1.05E+08	5.35E+07	0.6	2308964352	0.1123595506	0	4.19E-01	1.63E+00	1.26E+00	0.1	0
69	9.3	0	2	1	0.4	3	1301	0	4.44E-01	1.05E+08	5.35E+07	0.6	2308964352	0.1075268817	0	4.44E-01	1.62E+00	1.25E+00	0.1	0
70	8.9	0	2	1	0.4	5	1302	0	4.52E-01	1.05E+08	5.35E+07	0.6	2308964352	0.1123595506	0	4.52E-01	1.62E+00	1.24E+00	0.1	0
71	9.3	0	2	1	0.4	7	1303	0	4.56E-01	1.05E+08	5.35E+07	0.6	2308964352	0.1075268817	0	4.56E-01	1.62E+00	1.49E+00	0.1	0
72	6.5	0	2	1	0.6	1	1304	0	4.53E-01	1.05E+08	5.35E+07	0.6	2308964352	0.1538461538	0	5.94E-01	1.30E+00	1.26E+00	0.1	0
73	6.7	0	2	1	0.6	3	1305	0	6.31E-01	1.05E+08	5.35E+07	0.6	2308964352	0.1492537313	0	6.31E-01	1.08E+00	1.25E+00	0.1	0
74	7	0	2	1	0.6	5	1306	0	6.44E-01	1.05E+08	5.35E+07	0.6	2308964352	0.1428571429	0	6.44E-01	1.08E+00	1.24E+00	0.1	0
75	7.7	0	2	1	0.6	7	1307	0	6.50E-01	1.05E+08	5.35E+07	0.6	2308964352	0.1298701299	0	6.50E-01	1.08E+00	1.49E+00	0.1	0
76	6.2	0	2	1	0.8	1	1308	0	4.53E-01	1.05E+08	5.35E+07	0.6	2308964352	0.1612903226	0	6.81E-01	1.30E+00	1.26E+00	0.1	0
77	6.3	0	2	1	0.8	3	1309	0	6.31E-01	1.05E+08	5.35E+07	0.6	2308964352	0.1587301587	0	7.25E-01	1.08E+00	1.25E+00	0.1	0
78	7	0	2	1	0.8	5	1310	0	6.44E-01	1.05E+08	5.35E+07	0.6	2308964352	0.1428571429	0	7.39E-01	1.08E+00	1.24E+00	0.1	0
79	6.9	0	2	1	0.8	7	1311	0	6.50E-01	1.05E+08	5.35E+07	0.6	2308964352	0.1449275362	0	7.47E-01	1.08E+00	1.49E+00	0.1	0
80	6.7	0	2	2	0.2	1	1312	0	2.67E-01	1.05E+08	5.35E+07	0.6	2308964352	0.1492537313	0	2.67E-01	3.26E+00	1.53E+00	0.1	0
81	6.9	0	2	2	0.2	3	1313	0	2.79E-01	1.05E+08	5.35E+07	0.6	2308964352	0.1449275362	0	2.79E-01	3.24E+00	1.49E+00	0.1	0
82	7.5	0	2	2	0.2	5	1314	0	2.83E-01	1.05E+08	5.35E+07	0.6	2308964352	0.1333333333	0	2.83E-01	3.24E+00	1.48E+00	0.1	0
83	8.5	0	2	2	0.2	7	1315	0	2.86E-01	1.05E+08	5.35E+07	0.6	2308964352	0.1176470588	0	2.86E-01	3.23E+00	1.77E+00	0.1	0
84	6	0	2	2	0.4	1	1316	0	4.42E-01	1.05E+08	5.35E+07	0.6	2308964352	0.1666666667	0	4.42E-01	1.63E+00	1.53E+00	0.1	0
85	7.1	0	2	2	0.4	3	1317	0	4.67E-01	1.05E+08	5.35E+07	0.6	2308964352	0.1408450704	0	4.67E-01	1.62E+00	1.49E+00	0.1	0
86	6.7	0	2	2	0.4	5	1318	0	4.75E-01	1.05E+08	5.35E+07	0.6	2308964352	0.1492537313	0	4.75E-01	1.62E+00	1.48E+00	0.1	0
87	7.2	0	2	2	0.4	7	1319	0	4.79E-01	1.05E+08	5.35E+07	0.6	2308964352	0.1388888889	0	4.79E-01	1.62E+00	1.77E+00	0.1	0
88	6.3	0	2	2	0.6	1	1320	0	4.76E-01	1.05E+08	5.35E+07	0.6	2308964352	0.1587301587	0	6.17E-01	1.30E+00	1.53E+00	0.1	0
89	5.1	0	2	2	0.6	3	1321	0	6.54E-01	1.05E+08	5.35E+07	0.6	2308964352	0.1960784314	0	6.54E-01	1.08E+00	1.49E+00	0.1	0
90	5.5	0	2	2	0.6	5	1322	0	6.67E-01	1.05E+08	5.35E+07	0.6	2308964352	0.1818181818	0	6.67E-01	1.08E+00	1.48E+00	0.1	0
91	6	0	2	2	0.6	7	1323	0	6.73E-01	1.05E+08	5.35E+07	0.6	2308964352	0.1666666667	0	6.73E-01	1.08E+00	1.77E+00	0.1	0
92	6.8	0	2	2	0.8	1	1324	0	4.76E-01	1.05E+08	5.35E+07	0.6	2308964352	0.1470588235	0	7.04E-01	1.30E+00	1.53E+00	0.1	0
93	4.7	0	2	2	0.8	3	1325	0	6.54E-01	1.05E+08	5.35E+07	0.6	2308964352	0.2127659574	0	7.48E-01	1.08E+00	1.49E+00	0.1	0
94	5.4	0	2	2	0.8	5	1326	0	6.67E-01	1.05E+08	5.35E+07	0.6	2308964352	0.1851851852	0	7.63E-01	1.08E+00	1.48E+00	0.1	0
